datestr,cases,deaths,device_count,full_time_work_behavior_devices,part_time_work_behavior_devices,completely_home_device_count,delivery_behavior_devices,candidate_device_count,sheltering_in_place_percent,total_pop,total_spend,num_cards,county,county_name,state_abbr,county Geometry longitude,county Geometry latitude
2020-05-03T00:00:00.000Z,793,33,14332,182,346,6148,330,36476,0.4289701367569076,274150,305390.75256347656,9194.960535049438,13063,Clayton,GA,-84.3555727,33.5426863
2020-05-03T00:00:00.000Z,9,0,533,8,32,127,20,1060,0.23827392120075047,6788,1324.2257804870605,55.6815031170845,13065,Clinch,GA,-82.7026143,30.9176531
2020-05-03T00:00:00.000Z,1768,97,43644,488,1157,18086,707,93135,0.41439831362844837,739072,285983.0109119415,8276.128927052021,13067,Cobb,GA,-84.5741123,33.9399298
2020-05-03T00:00:00.000Z,146,7,3096,45,166,874,68,6573,0.28229974160206717,43048,24848.199478149414,800.3026657104492,13069,Coffee,GA,-82.8449401,31.5492452
2020-05-03T00:00:00.000Z,188,10,3003,35,109,862,53,6783,0.28704628704628704,45890,24828.27133178711,730.4679164886475,13071,Colquitt,GA,-83.769773,31.1897075
2020-05-03T00:00:00.000Z,164,4,10680,96,360,4087,196,22418,0.38267790262172285,143723,32555.94683074951,958.0293397903442,13073,Columbia,GA,-82.2522957,33.5476313
2020-05-03T00:00:00.000Z,28,1,1366,18,55,414,40,2641,0.30307467057101023,17190,7614.121490478516,266.2541437149048,13075,Cook,GA,-83.4294448,31.1525157
2020-05-03T00:00:00.000Z,230,4,12164,93,418,4325,216,23390,0.35555738243998686,138015,41887.75778198242,1253.5179252624512,13077,Coweta,GA,-84.7621381,33.3528965
2020-05-03T00:00:00.000Z,18,0,907,10,27,255,21,1905,0.28114663726571115,12385,3936.437240600586,126.51352834701538,13079,Crawford,GA,-83.9791874,32.7094283
2020-05-03T00:00:00.000Z,168,3,1242,28,38,364,32,2952,0.29307568438003223,23005,13311.873825073242,468.7131667137146,13081,Crisp,GA,-83.7535309,31.9151485
2020-05-03T00:00:00.000Z,15,1,1152,9,51,327,24,2520,0.2838541666666667,16282,3376.5196685791016,116.53278493881226,13083,Dade,GA,-85.5062006,34.8524237
2020-05-03T00:00:00.000Z,66,1,2211,17,108,680,23,4391,0.3075531433740389,23397,5422.511444091797,166.5524444580078,13085,Dawson,GA,-84.1732611,34.4426077
